 TYPE	 PROD	               ASSET	             ValueVE	            ValueVEc	              SaveVE	             endoKVE	          SearchWWVE
    0	    0	   5.743504469444626	 -18.186725218444661	 -18.186725218444661	   4.840005929251696	   6.803884857534044	   0.251687313044556
    0	    0	   5.938363956160092	 -18.066828041228572	 -18.066828041228572	   5.017276192606440	   7.033878185103445	   0.250691787432547
    0	    0	   6.138854078954332	 -17.946755500554758	 -17.946755500554758	   5.191153322135222	   7.270493216181353	   0.249726667557903
    0	    0	   6.345137540004107	 -17.826786608128788	 -17.826786608128788	   5.381757384108600	   7.443620824944639	   0.248711816807995
    0	    0	   6.557381742908535	 -17.707079823916221	 -17.707079823916221	   5.580869630120085	   7.443620824944639	   0.247688414190040
    0	    0	   6.775758928540808	 -17.586939315097680	 -17.586939315097680	   5.784475861729029	   7.443620824944639	   0.246641648546393
    0	    0	   7.000446314825505	 -17.466507552837975	 -17.466507552837975	   5.993397323676280	   7.443620824944639	   0.245581159481475
    0	    0	   7.231626240554826	 -17.345855072749124	 -17.345855072749124	   6.208351999873640	   7.443620824944639	   0.244544469572496
    0	    0	   7.469486313360592	 -17.225012252935606	 -17.225012252935606	   6.429511387112044	   7.443620824944639	   0.243581510587714
    0	    0	   7.714219561961972	 -17.103981137556545	 -17.103981137556545	   6.657832292959153	   7.443620824944639	   0.242655482635265
    0	    0	   7.966024592812593	 -16.982772859598413	 -16.982772859598413	   6.892198946853269	   7.443620824944639	   0.241694309719964
    0	    0	   8.225105751274045	 -16.861441266662037	 -16.861441266662037	   7.133375199999571	   7.443620824944639	   0.240708613093586
    0	    0	   8.491673287446705	 -16.740004458838161	 -16.740004458838161	   7.381719510099642	   7.443620824944639	   0.239706149306164
    0	    0	   8.765943526792318	 -16.618489737699754	 -16.618489737699754	   7.637133930939670	   7.443620824944639	   0.238686677060183
    0	    0	   9.048139045686920	 -16.496945680824258	 -16.496945680824258	   7.899622551157242	   7.443620824944639	   0.237647319233838
    0	    0	   9.338488852046499	 -16.375409283152454	 -16.375409283152454	   8.169680957779264	   7.443620824944639	   0.236588909455369
    0	    0	   9.637228571171983	 -16.253897631588366	 -16.253897631588366	   8.447729250743606	   7.443620824944639	   0.235509703650447
    0	    0	   9.944600636964415	 -16.132439993273358	 -16.132439993273358	   8.733727310508456	   7.443620824944639	   0.234407128749053
    0	    0	  10.260854488665400	 -16.011086577648886	 -16.011086577648886	   9.027642616115795	   7.443620824944639	   0.233279463368152
    0	    0	  10.586246773282603	 -15.889871042171258	 -15.889871042171258	   9.329994086000434	   7.443620824944639	   0.232127919653260
    0	    0	  10.921041553864477	 -15.768816229646783	 -15.768816229646783	   9.637223674805208	   7.443620824944639	   0.230965677568286
    0	    0	  11.265510523793269	 -15.647971109970578	 -15.647971109970578	   9.944601628300129	   7.443620824944639	   0.229810456621043
    0	    0	  11.619933227270224	 -15.527373681615209	 -15.527373681615209	  10.260853809690611	   7.443620824944639	   0.228633459676065
    0	    0	  11.984597286171908	 -15.407041469195690	 -15.407041469195690	  10.586248016637329	   7.443620824944639	   0.227438854968852
    0	    0	  12.359798633461725	 -15.286990756344560	 -15.286990756344560	  10.926486204329246	   7.443620824944639	   0.226208495545675
    0	    0	  12.745841753346063	 -15.167226478993463	 -15.167226478993463	  11.283670116360257	   7.443620824944639	   0.224943072750704
    0	    0	  13.143039928369985	 -15.047768886228466	 -15.047768886228466	  11.651293271554964	   7.443620824944639	   0.223669963612445
    0	    0	  13.551715493652951	 -14.928636772154434	 -14.928636772154434	  12.028992214422022	   7.443620824944639	   0.222396256207871
    0	    0	  13.972200098470935	 -14.809874031439360	 -14.809874031439360	  12.418311301976175	   7.443620824944639	   0.221150308737529
    0	    0	  14.404834975397117	 -14.691466534421446	 -14.691466534421446	  12.818945835316553	   7.443620824944639	   0.219893887842461
    0	    0	  14.849971217219700	 -14.573430575855783	 -14.573430575855783	  13.231272153873245	   7.443620824944639	   0.218624833022589
    0	    0	  15.307970061861486	 -14.455782432204103	 -14.455782432204103	  13.655418102581468	   7.443620824944639	   0.217347309692444
    0	    0	  15.779203185532456	 -14.338541735686876	 -14.338541735686876	  14.092118386823309	   7.443620824944639	   0.216065960726355
    0	    0	  16.264053004353240	 -14.221714766115062	 -14.221714766115062	  14.541533680119985	   7.443620824944639	   0.214773108618170
    0	    0	  16.762912984694282	 -14.105315511099604	 -14.105315511099604	  15.004044904352661	   7.443620824944639	   0.213468630096381
    0	    0	  17.276187962482517	 -13.989357700647362	 -13.989357700647362	  15.479991247635693	   7.443620824944639	   0.212154001380527
    0	    0	  17.804294471734682	 -13.873853806524064	 -13.873853806524064	  15.969865983600451	   7.443620824944639	   0.210829982871158
    0	    0	  18.347661082583901	 -13.758813996972274	 -13.758813996972274	  16.474020581760481	   7.443620824944639	   0.209495976725567
